tpid,customer,workload_hint,scope,chosen_workload,screenshot_acu,screenshot_usd,screenshot_workload_picker,screenshot_workload_acu,screenshot_workload_usd,cur_month_val,prev_month_val,notes
603819,SAP_SE_RISE1,RISE,org-level,,603819_SAP_SE_RISE1/01a_acu.png,,,,,,,
15902931,SAP_RISE2,RISE,workload,SAP SE (603819),,,15902931_SAP_RISE2/02_workloads.png,15902931_SAP_RISE2/03a_workload_acu.png,,,,
2699441,SAP_RISE3,RISE,workload,,,,,,,,,search failed
636846,PepsiCo,SAP,workload,,,,636846_PepsiCo/02_workloads.png,,,,,no SAP/SAP/Epic workload row found → ACR = N/A
1719071,Woolworths,SAP,workload,Woolworths Group Limited - Azure Platform for SAP,,,1719071_Woolworths/02_workloads.png,1719071_Woolworths/03a_workload_acu.png,,,,
682354,Medline,SAP,workload,Medline SAP,,,682354_Medline/02_workloads.png,682354_Medline/03a_workload_acu.png,,,,
10545209,Shell,SAP,workload,Shell plc - SAP S/4 CFIN,,,10545209_Shell/02_workloads.png,10545209_Shell/03a_workload_acu.png,,,,
523595,Ferrero,SAP,workload,,,,523595_Ferrero/02_workloads.png,,,,,no SAP/SAP/Epic workload row found → ACR = N/A
605015,Lego,SAP,workload,LEGO SAP BW,,,605015_Lego/02_workloads.png,605015_Lego/03a_workload_acu.png,,,,
1248703,Beiersdorf,SAP,workload,Beiersdorf AG - Azure for SAP,,,1248703_Beiersdorf/02_workloads.png,1248703_Beiersdorf/03a_workload_acu.png,,,,
640443,Nike,SAP,workload,Nike - SAP Prod,,,640443_Nike/02_workloads.png,640443_Nike/03a_workload_acu.png,,,,
520706,Bayer_AG,SAP,workload,Bayer AG - SAP on Oracle,,,520706_Bayer_AG/02_workloads.png,520706_Bayer_AG/03a_workload_acu.png,,,,
523272,BHP,SAP,workload,,,,523272_BHP/02_workloads.png,,,,,no SAP/SAP/Epic workload row found → ACR = N/A
101552,Unilever,SAP,workload,Unilever - SAP,,,101552_Unilever/02_workloads.png,101552_Unilever/03a_workload_acu.png,,,,
